iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population
MAC,Asia,Macao,2021-12-11,,,,,,,,,,942227.0,488314.0,448433.0,,,32.41,20546.77,104861.85,,84.24,,695180
THA,Asia,Thailand,2021-07-22,403386.0,0.0,3341.0,0.0,10026313.0,62846.0,0.17,6.0,tests performed,15388939.0,11805180.0,3583759.0,,304243.0,57.41,135.13,16277.67,2.1,77.15,0.78,71697024
IRN,Asia,Iran,2021-09-16,5275567.0,0.0,113824.0,0.0,30672916.0,115179.0,0.18,5.5,tests performed,,,,,,69.91,49.83,19082.62,1.5,76.68,0.78,88550568
KOR,Asia,South Korea,2024-05-18,34571873.0,0.0,35934.0,0.0,,,,,,,,,,,,527.97,35938.37,12.27,83.03,0.92,51815808
PLW,Oceania,Palau,2021-02-26,0.0,0.0,0.0,0.0,,,,,,,,,,,,47.24,13240.4,4.8,73.7,0.83,18084
FJI,Oceania,Fiji,2020-09-26,32.0,0.0,2.0,0.0,10345.0,65.0,,,tests performed,,,,,,51.85,49.56,8702.98,2.3,67.44,0.74,929769
NGA,Africa,Nigeria,2021-09-21,201630.0,0.0,2654.0,0.0,,,0.06,18.2,tests performed,,,,,,41.67,209.59,5338.45,,54.69,0.54,218541216
KGZ,Asia,Kyrgyzstan,2024-01-09,88944.0,0.0,1024.0,0.0,,,,,,,,,,,,32.33,3393.47,4.5,71.45,0.7,6630621
AUS,Oceania,Australia,2022-01-29,2055319.0,0.0,3799.0,0.0,60840097.0,137420.0,0.39,2.5,tests performed,49516636.0,21629171.0,20188421.0,7699044.0,172742.0,55.28,3.2,44648.71,3.84,83.44,0.94,26177410
PAN,North America,Panama,2021-01-01,226660.0,0.0,3756.0,0.0,1313780.0,11297.0,0.27,3.7,tests performed,,,,,,76.85,55.13,22267.04,2.3,78.51,0.82,4408582
GNQ,Africa,Equatorial Guinea,2021-11-17,13459.0,0.0,168.0,0.0,,,0.01,67.2,tests performed,441106.0,245832.0,195274.0,,,,45.19,22604.87,2.1,58.74,0.59,1674916
KHM,Asia,Cambodia,2021-02-07,474.0,8.0,0.0,0.0,,,,,,,,,,,55.56,90.67,3645.07,0.8,69.82,0.59,16767851
NIU,Oceania,Niue,2021-08-27,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,73.71,,1952
SRB,Europe,Serbia,2023-01-25,2464509.0,0.0,17649.0,0.0,,,,,,,,,,,,80.29,14048.88,5.61,76.0,0.81,6871547
JAM,North America,Jamaica,2020-11-10,9472.0,0.0,218.0,0.0,101764.0,370.0,0.08,12.3,samples tested,,,,,,71.3,266.88,8193.57,1.7,74.47,0.73,2827382
PHL,Asia,Philippines,2022-08-19,3827759.0,0.0,61078.0,0.0,,,,,,,,,,,30.44,351.87,7599.19,1.0,71.23,0.72,115559008
UKR,Europe,Ukraine,2021-09-10,2256032.0,0.0,51441.0,0.0,12217031.0,28961.0,0.12,8.3,tests performed,10591352.0,5860640.0,4749964.0,,183527.0,53.37,77.39,7894.39,8.8,72.06,0.78,39701744
ARE,Asia,United Arab Emirates,2023-12-19,1067030.0,0.0,2349.0,0.0,,,,,,,,,,,,112.44,67293.48,1.2,77.97,0.89,9441138
YEM,Asia,Yemen,2023-08-17,11945.0,0.0,2159.0,0.0,,,,,,,,,,,,53.51,1479.15,0.7,66.12,0.47,33696612
FJI,Oceania,Fiji,2020-05-01,18.0,0.0,0.0,0.0,1201.0,41.0,,,tests performed,,,,,,80.56,49.56,8702.98,2.3,67.44,0.74,929769
SLB,Oceania,Solomon Islands,2021-05-02,20.0,0.0,0.0,0.0,,,,,,,,,,,25.0,21.84,2205.92,1.4,73.0,0.57,724272
ARG,South America,Argentina,2023-06-28,10044957.0,0.0,130472.0,0.0,,,,,,115901210.0,41503190.0,34891146.0,36677445.0,6007.0,,16.18,18933.91,5.0,76.67,0.84,45510324
LBY,Africa,Libya,2023-10-23,507269.0,0.0,6437.0,0.0,,,,,,,,,,,,3.62,17881.51,3.7,72.91,0.72,6812344
LBR,Africa,Liberia,2023-09-14,7930.0,0.0,294.0,0.0,,,,,,,,,,,,49.13,752.79,0.8,64.1,0.48,5302690
IRQ,Asia,Iraq,2023-06-09,2465545.0,0.0,25375.0,0.0,,,,,,,,,,,,88.12,15663.99,1.4,70.6,0.67,44496124
NOR,Europe,Norway,2020-08-29,10420.0,0.0,264.0,0.0,734787.0,6399.0,0.01,142.9,people tested,,,,,,37.96,14.46,64800.06,3.6,82.4,0.96,5434324
BGD,Asia,Bangladesh,2022-04-05,1951770.0,0.0,29122.0,0.0,,,0.03,34.2,tests performed,252731398.0,128314883.0,114435222.0,10190416.0,,13.89,1265.04,3523.98,0.8,72.59,0.63,171186368
NPL,Asia,Nepal,2023-06-26,1003365.0,0.0,12031.0,0.0,,,,,,,,,,,,204.43,2442.8,0.3,70.78,0.6,30547586
BRB,North America,Barbados,2021-02-12,1676.0,0.0,18.0,0.0,,,,,,,,,,,74.07,664.46,16978.07,5.8,79.19,0.81,281646
NPL,Asia,Nepal,2022-07-17,981408.0,1091.0,11953.0,1.0,,,,,,,,,,,34.54,204.43,2442.8,0.3,70.78,0.6,30547586
HKG,Asia,Hong Kong,2021-10-09,,,,,,,,,tests performed,8801727.0,4530985.0,4270398.0,344.0,69.0,59.26,7039.71,56054.92,,84.86,0.95,7488863
GUM,Oceania,Guam,2023-01-21,50405.0,0.0,411.0,0.0,,,,,,,,,,,,304.13,,,80.07,,171783
FLK,South America,Falkland Islands,2022-02-08,91.0,0.0,0.0,0.0,,,,,,,,,,,,,,,81.44,,3801
ASM,Oceania,American Samoa,2024-05-16,8359.0,0.0,34.0,0.0,,,,,,,,,,,,278.2,,,73.74,,44295
SWZ,Africa,Eswatini,2020-06-27,627.0,0.0,5.0,0.0,,,,,,,,,,,84.26,79.49,7738.98,2.1,60.19,0.61,1201680
SMR,Europe,San Marino,2021-02-27,3509.0,0.0,72.0,0.0,,,,,,35.0,35.0,,,,60.19,556.67,56861.47,3.8,84.97,,33690
HKG,Asia,Hong Kong,2022-01-06,,,,,,,,,tests performed,10123867.0,4963566.0,4685746.0,474555.0,41535.0,55.56,7039.71,56054.92,,84.86,0.95,7488863
NZL,Oceania,New Zealand,2020-10-01,1477.0,0.0,25.0,0.0,958738.0,4749.0,,,tests performed,,,,,,41.2,18.21,36085.84,2.61,82.29,0.93,5185289
SLV,North America,El Salvador,2021-07-23,82852.0,0.0,2484.0,0.0,,,,,tests performed,3937603.0,2527604.0,1409999.0,,76742.0,35.19,307.81,7292.46,1.3,73.32,0.67,6336393
MCO,Europe,Monaco,2023-08-07,16858.0,0.0,67.0,0.0,,,,,,,,,,,,19347.5,,13.8,86.75,,36491
MRT,Africa,Mauritania,2022-09-06,62770.0,0.0,993.0,0.0,,,,,,,,,,,26.85,4.29,3597.63,,64.92,0.55,4736146
BMU,North America,Bermuda,2020-12-26,516.0,0.0,9.0,0.0,,,,,,,,,,,61.11,1308.82,50669.32,,82.59,,64207
TGO,Africa,Togo,2021-04-27,12787.0,0.0,121.0,0.0,308098.0,993.0,0.04,22.9,tests performed,,,,,,59.26,143.37,1429.81,0.7,61.04,0.52,8848700
MDV,Asia,Maldives,2021-08-28,79959.0,0.0,223.0,0.0,1355610.0,5238.0,0.02,48.5,samples tested,684200.0,382677.0,301523.0,,1109.0,,1454.43,15183.62,,78.92,0.74,523798
SSD,Africa,South Sudan,2020-09-22,2644.0,0.0,51.0,0.0,,,0.03,32.7,tests performed,,,,,,45.37,,1569.89,,57.85,0.43,10913172
SLV,North America,El Salvador,2022-06-30,169646.0,0.0,4139.0,0.0,,,,,,,,,,,24.84,307.81,7292.46,1.3,73.32,0.67,6336393
GTM,North America,Guatemala,2020-10-23,101028.0,0.0,3515.0,0.0,389516.0,4564.0,0.17,6.0,people tested,,,,,,49.54,157.83,7423.81,0.6,74.3,0.66,17843914
ESP,Europe,Spain,2022-05-07,12020018.0,0.0,106014.0,0.0,90919508.0,37601.0,0.31,3.3,tests performed,,,,,,27.59,93.1,34272.36,2.97,83.56,0.9,47558632
GAB,Africa,Gabon,2021-11-20,36692.0,0.0,266.0,0.0,,,0.02,44.0,tests performed,,,,,,50.0,7.86,16562.41,6.3,66.47,0.7,2388997
IRQ,Asia,Iraq,2024-07-27,2465545.0,0.0,25375.0,0.0,,,,,,,,,,,,88.12,15663.99,1.4,70.6,0.67,44496124
MTQ,North America,Martinique,2023-06-20,229975.0,0.0,1102.0,0.0,,,,,,,,,,,,,,,82.54,,367512
VAT,Europe,Vatican,2021-09-13,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,75.12,,808
YEM,Asia,Yemen,2023-08-30,11945.0,0.0,2159.0,0.0,,,,,,,,,,,,53.51,1479.15,0.7,66.12,0.47,33696612
BRB,North America,Barbados,2021-06-19,4033.0,0.0,47.0,0.0,,,,,,157283.0,91778.0,65505.0,,440.0,58.33,664.46,16978.07,5.8,79.19,0.81,281646
NOR,Europe,Norway,2024-07-24,1511220.0,0.0,5732.0,0.0,,,,,,,,,,,,14.46,64800.06,3.6,82.4,0.96,5434324
TJK,Asia,Tajikistan,2023-08-27,17786.0,0.0,125.0,0.0,,,,,,,,,,,,64.28,2896.91,4.8,71.1,0.67,9952789
FIN,Europe,Finland,2022-12-02,1429634.0,0.0,8136.0,0.0,,,,,,,,,,,11.11,18.14,40585.72,3.28,81.91,0.94,5540745
PAK,Asia,Pakistan,2021-10-16,1257188.0,0.0,28087.0,0.0,,,0.02,49.8,tests performed,,,,,,48.82,255.57,5034.71,0.6,67.27,0.56,235824864
MAR,Africa,Morocco,2022-12-24,1270782.0,0.0,16294.0,0.0,,,,,,,,,,,24.46,80.08,7485.01,1.1,76.68,0.69,37457976
VNM,Asia,Vietnam,2023-03-27,11527203.0,0.0,43186.0,0.0,,,,,,,,,,,,308.13,6171.88,2.6,75.4,0.7,98186856
ISL,Europe,Iceland,2023-07-26,208792.0,0.0,186.0,0.0,,,,,,,,,,,,3.4,46482.96,2.91,82.99,0.95,372903
CYP,Europe,Cyprus,2024-05-09,691072.0,0.0,1445.0,0.0,,,,,,,,,,,,127.66,32415.13,3.4,80.98,0.89,896007
SWE,Europe,Sweden,2023-05-15,2708117.0,0.0,24255.0,0.0,,,,,,26150492.0,,,,,,24.72,46949.28,2.22,82.8,0.94,10549349
MNG,Asia,Mongolia,2024-05-26,1011481.0,3.0,2136.0,0.0,,,,,,,,,,,,1.98,11840.85,7.0,69.87,0.74,3398373
ZAF,Africa,South Africa,2023-03-05,4065743.0,4165.0,102595.0,0.0,,,,,,,,,,,,46.75,12294.88,2.32,64.13,0.71,59893884
TON,Oceania,Tonga,2023-02-13,16795.0,0.0,12.0,0.0,,,,,,,,,,,,150.03,5425.62,2.6,70.91,0.72,106867
TUN,Africa,Tunisia,2021-08-20,623940.0,0.0,21827.0,0.0,2434016.0,,0.24,4.2,people tested,4891225.0,3525959.0,1671876.0,,57204.0,79.63,74.23,10849.3,2.3,76.7,0.74,12356116
WLF,Oceania,Wallis and Futuna,2021-02-24,9.0,0.0,0.0,0.0,,,,,,,,,,,,,,,79.94,,11596
